,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution
0,0.98,514.5,294.0,127.68664980874384,7.0,2,0.0,0
1,0.98,514.5,294.0,152.18362277349976,7.0,3,0.0,0
2,0.98,514.5,294.0,98.74271424091823,7.0,4,0.0,0
3,0.98,514.5,294.0,133.23075455428418,7.0,5,0.0,0
4,0.9,563.5,318.5,111.21674537908936,7.0,2,0.0,0
5,0.9,563.5,318.5,129.95203965169327,7.0,3,0.0,0
6,0.9,563.5,318.5,146.99699596456674,7.0,4,0.0,0
7,0.9,563.5,318.5,82.858027095022,7.0,5,0.0,0
8,0.86,588.0,294.0,138.92315191817136,7.0,2,0.0,0
9,0.86,588.0,294.0,155.33890975176408,7.0,3,0.0,0
10,0.86,588.0,294.0,124.48467049074833,7.0,4,0.0,0
11,0.86,588.0,294.0,167.0965549156483,7.0,5,0.0,0
12,0.82,612.5,318.5,126.38441541415703,7.0,2,0.0,0
13,0.82,612.5,318.5,128.4667167760913,7.0,3,0.0,0
14,0.82,612.5,318.5,147.87495616935843,7.0,4,0.0,0
15,0.82,612.5,318.5,146.08278300924155,7.0,5,0.0,0
16,0.79,637.0,343.0,166.23897364125312,7.0,2,0.0,0
17,0.79,637.0,343.0,151.9325129858492,7.0,3,0.0,0
18,0.79,637.0,343.0,130.79084588496497,7.0,4,0.0,0
19,0.79,637.0,343.0,101.1194400167678,7.0,5,0.0,0
20,0.76,661.5,416.5,164.92017987087394,7.0,2,0.0,0
21,0.76,661.5,416.5,110.67960331107784,7.0,3,0.0,0
22,0.76,661.5,416.5,132.18360781598392,7.0,4,0.0,0
23,0.76,661.5,416.5,95.96132096058885,7.0,5,0.0,0
24,0.74,686.0,245.0,190.3998640557923,3.5,2,0.0,0
25,0.74,686.0,245.0,239.20303165862146,3.5,3,0.0,0
26,0.74,686.0,245.0,241.21736193706215,3.5,4,0.0,0
27,0.74,686.0,245.0,193.70548723851743,3.5,5,0.0,0
28,0.71,710.5,269.5,235.3714209932695,3.5,2,0.0,0
29,0.71,710.5,269.5,242.67391573696267,3.5,3,0.0,0
30,0.71,710.5,269.5,246.46732455666827,3.5,4,0.0,0
31,0.71,710.5,269.5,249.64687601320486,3.5,5,0.0,0
32,0.69,735.0,294.0,237.361434023193,3.5,2,0.0,0
33,0.69,735.0,294.0,173.98427903490463,3.5,3,0.0,0
34,0.69,735.0,294.0,214.78814751742684,3.5,4,0.0,0
35,0.69,735.0,294.0,230.74738309042704,3.5,5,0.0,0
36,0.66,759.5,318.5,245.23236001292963,3.5,2,0.0,0
37,0.66,759.5,318.5,187.72735089261167,3.5,3,0.0,0
38,0.66,759.5,318.5,238.49529363803708,3.5,4,0.0,0
39,0.66,759.5,318.5,202.90926432654666,3.5,5,0.0,0
40,0.64,784.0,343.0,209.22542473174664,3.5,2,0.0,0
41,0.64,784.0,343.0,232.99981157970052,3.5,3,0.0,0
42,0.64,784.0,343.0,183.73487125058742,3.5,4,0.0,0
43,0.64,784.0,343.0,200.16672327762595,3.5,5,0.0,0
44,0.62,808.5,367.5,265.7528989363072,3.5,2,0.0,0
45,0.62,808.5,367.5,172.6747549768904,3.5,3,0.0,0
46,0.62,808.5,367.5,222.75074058923906,3.5,4,0.0,0
47,0.62,808.5,367.5,199.21075213186157,3.5,5,0.0,0
48,0.98,514.5,294.0,101.9944575369615,7.0,2,0.1,1
49,0.98,514.5,294.0,119.97366113956484,7.0,3,0.1,1
50,0.98,514.5,294.0,140.85865869593692,7.0,4,0.1,1
51,0.98,514.5,294.0,100.81303798038617,7.0,5,0.1,1
52,0.9,563.5,318.5,121.60817261304388,7.0,2,0.1,1
53,0.9,563.5,318.5,121.18603910480424,7.0,3,0.1,1
54,0.9,563.5,318.5,135.0632243670671,7.0,4,0.1,1
55,0.9,563.5,318.5,107.83059921827802,7.0,5,0.1,1
56,0.86,588.0,294.0,109.19575892402382,7.0,2,0.1,1
57,0.86,588.0,294.0,184.26917931761093,7.0,3,0.1,1
58,0.86,588.0,294.0,152.7547476694178,7.0,4,0.1,1
59,0.86,588.0,294.0,140.24723766128366,7.0,5,0.1,1
60,0.82,612.5,318.5,189.44497041072012,7.0,2,0.1,1
61,0.82,612.5,318.5,125.85965163831503,7.0,3,0.1,1
62,0.82,612.5,318.5,182.2035295800925,7.0,4,0.1,1
63,0.82,612.5,318.5,151.46880780187635,7.0,5,0.1,1
64,0.79,637.0,343.0,147.22159243599046,7.0,2,0.1,1
65,0.79,637.0,343.0,136.72130256008592,7.0,3,0.1,1
66,0.79,637.0,343.0,123.38449545221764,7.0,4,0.1,1
67,0.79,637.0,343.0,150.27061456452122,7.0,5,0.1,1
68,0.76,661.5,416.5,125.48597538539741,7.0,2,0.1,1
69,0.76,661.5,416.5,146.6072916595535,7.0,3,0.1,1
70,0.76,661.5,416.5,143.49803378507391,7.0,4,0.1,1
71,0.76,661.5,416.5,119.22324811611726,7.0,5,0.1,1
72,0.74,686.0,245.0,212.7119915878197,3.5,2,0.1,1
73,0.74,686.0,245.0,208.96756621637869,3.5,3,0.1,1
74,0.74,686.0,245.0,191.18775938244175,3.5,4,0.1,1
75,0.74,686.0,245.0,224.37944300648326,3.5,5,0.1,1
76,0.71,710.5,269.5,228.3713699021037,3.5,2,0.1,1
77,0.71,710.5,269.5,213.60631357475208,3.5,3,0.1,1
78,0.71,710.5,269.5,190.27920537480645,3.5,4,0.1,1
79,0.71,710.5,269.5,235.99900492497724,3.5,5,0.1,1
80,0.69,735.0,294.0,195.8669736590231,3.5,2,0.1,1
81,0.69,735.0,294.0,196.85774556984398,3.5,3,0.1,1
82,0.69,735.0,294.0,221.8565394059194,3.5,4,0.1,1
83,0.69,735.0,294.0,213.07687451187604,3.5,5,0.1,1
84,0.66,759.5,318.5,226.07452137492044,3.5,2,0.1,1
85,0.66,759.5,318.5,231.3073644866658,3.5,3,0.1,1
86,0.66,759.5,318.5,178.7690462589534,3.5,4,0.1,1
87,0.66,759.5,318.5,190.41299751309404,3.5,5,0.1,1
88,0.64,784.0,343.0,224.020448271965,3.5,2,0.1,1
89,0.64,784.0,343.0,209.2762610926143,3.5,3,0.1,1
90,0.64,784.0,343.0,188.8772762773101,3.5,4,0.1,1
91,0.64,784.0,343.0,285.60718047794757,3.5,5,0.1,1
92,0.62,808.5,367.5,235.82582935205258,3.5,2,0.1,1
93,0.62,808.5,367.5,216.78241965506533,3.5,3,0.1,1
94,0.62,808.5,367.5,190.32092155686706,3.5,4,0.1,1
95,0.62,808.5,367.5,202.90809128911297,3.5,5,0.1,1
96,0.98,514.5,294.0,73.38383660786735,7.0,2,0.1,2
97,0.98,514.5,294.0,92.77813193553366,7.0,3,0.1,2
98,0.98,514.5,294.0,97.335939270843,7.0,4,0.1,2
99,0.98,514.5,294.0,139.85411067483096,7.0,5,0.1,2
100,0.9,563.5,318.5,110.39142307828659,7.0,2,0.1,2
101,0.9,563.5,318.5,127.03765630257878,7.0,3,0.1,2
102,0.9,563.5,318.5,121.7486638137157,7.0,4,0.1,2
103,0.9,563.5,318.5,114.43216445748541,7.0,5,0.1,2
104,0.86,588.0,294.0,125.8088182510493,7.0,2,0.1,2
105,0.86,588.0,294.0,137.48674633385266,7.0,3,0.1,2
106,0.86,588.0,294.0,133.92966350199293,7.0,4,0.1,2
107,0.86,588.0,294.0,120.19898619157523,7.0,5,0.1,2
108,0.82,612.5,318.5,173.52969174376852,7.0,2,0.1,2
109,0.82,612.5,318.5,161.20773962781004,7.0,3,0.1,2
110,0.82,612.5,318.5,134.75285932750276,7.0,4,0.1,2
111,0.82,612.5,318.5,152.88007650154432,7.0,5,0.1,2
112,0.79,637.0,343.0,170.13053888177365,7.0,2,0.1,2
113,0.79,637.0,343.0,159.89455563426907,7.0,3,0.1,2
114,0.79,637.0,343.0,138.75809010269072,7.0,4,0.1,2
115,0.79,637.0,343.0,128.24315459119106,7.0,5,0.1,2
116,0.76,661.5,416.5,115.88571202455445,7.0,2,0.1,2
117,0.76,661.5,416.5,162.12581627536568,7.0,3,0.1,2
118,0.76,661.5,416.5,120.47408023781588,7.0,4,0.1,2
119,0.76,661.5,416.5,100.31924403602012,7.0,5,0.1,2
120,0.74,686.0,245.0,231.24990198099107,3.5,2,0.1,2
121,0.74,686.0,245.0,230.1643957426312,3.5,3,0.1,2
122,0.74,686.0,245.0,214.7288811647149,3.5,4,0.1,2
123,0.74,686.0,245.0,221.20379124069314,3.5,5,0.1,2
124,0.71,710.5,269.5,209.12922778062187,3.5,2,0.1,2
125,0.71,710.5,269.5,231.26355665258134,3.5,3,0.1,2
126,0.71,710.5,269.5,201.3417547192588,3.5,4,0.1,2
127,0.71,710.5,269.5,216.65349351449825,3.5,5,0.1,2
128,0.69,735.0,294.0,227.62201524324863,3.5,2,0.1,2
129,0.69,735.0,294.0,260.1535396034651,3.5,3,0.1,2
130,0.69,735.0,294.0,212.95196571640406,3.5,4,0.1,2
131,0.69,735.0,294.0,220.80255159640458,3.5,5,0.1,2
132,0.66,759.5,318.5,203.4413977559766,3.5,2,0.1,2
133,0.66,759.5,318.5,234.54135059115382,3.5,3,0.1,2
134,0.66,759.5,318.5,216.3519390440712,3.5,4,0.1,2
135,0.66,759.5,318.5,230.27855344442514,3.5,5,0.1,2
136,0.64,784.0,343.0,219.56321451741735,3.5,2,0.1,2
137,0.64,784.0,343.0,224.91541760717817,3.5,3,0.1,2
138,0.64,784.0,343.0,188.14132945884958,3.5,4,0.1,2
139,0.64,784.0,343.0,225.969998250117,3.5,5,0.1,2
140,0.62,808.5,367.5,231.21689201485052,3.5,2,0.1,2
141,0.62,808.5,367.5,221.40458841845046,3.5,3,0.1,2
142,0.62,808.5,367.5,230.68270809235491,3.5,4,0.1,2
143,0.62,808.5,367.5,240.17221169858055,3.5,5,0.1,2
144,0.98,514.5,294.0,68.78874197470054,7.0,2,0.1,3
145,0.98,514.5,294.0,113.80675072049624,7.0,3,0.1,3
146,0.98,514.5,294.0,122.35211560207294,7.0,4,0.1,3
147,0.98,514.5,294.0,133.69651826974615,7.0,5,0.1,3
148,0.9,563.5,318.5,123.28118653727077,7.0,2,0.1,3
149,0.9,563.5,318.5,161.11138487456336,7.0,3,0.1,3
150,0.9,563.5,318.5,107.79431388440085,7.0,4,0.1,3
151,0.9,563.5,318.5,113.94347357408657,7.0,5,0.1,3
152,0.86,588.0,294.0,123.06031575112657,7.0,2,0.1,3
153,0.86,588.0,294.0,162.41973595084212,7.0,3,0.1,3
154,0.86,588.0,294.0,133.09530027076818,7.0,4,0.1,3
155,0.86,588.0,294.0,151.73869176739296,7.0,5,0.1,3
156,0.82,612.5,318.5,156.5486480636577,7.0,2,0.1,3
157,0.82,612.5,318.5,159.2757944598527,7.0,3,0.1,3
158,0.82,612.5,318.5,115.29334738670272,7.0,4,0.1,3
159,0.82,612.5,318.5,132.39923625881858,7.0,5,0.1,3
160,0.79,637.0,343.0,147.70306113104408,7.0,2,0.1,3
161,0.79,637.0,343.0,153.0176616082513,7.0,3,0.1,3
162,0.79,637.0,343.0,176.8634154837079,7.0,4,0.1,3
163,0.79,637.0,343.0,170.06963287748843,7.0,5,0.1,3
164,0.76,661.5,416.5,111.01852594214687,7.0,2,0.1,3
165,0.76,661.5,416.5,146.02281980438414,7.0,3,0.1,3
166,0.76,661.5,416.5,84.26065141553826,7.0,4,0.1,3
167,0.76,661.5,416.5,107.72882173141026,7.0,5,0.1,3
168,0.74,686.0,245.0,217.99565154803054,3.5,2,0.1,3
169,0.74,686.0,245.0,219.45841129513803,3.5,3,0.1,3
170,0.74,686.0,245.0,228.03892014055936,3.5,4,0.1,3
171,0.74,686.0,245.0,204.92322046091962,3.5,5,0.1,3
172,0.71,710.5,269.5,243.32690681131794,3.5,2,0.1,3
173,0.71,710.5,269.5,195.91778553818065,3.5,3,0.1,3
174,0.71,710.5,269.5,210.5448214185982,3.5,4,0.1,3
175,0.71,710.5,269.5,185.1738205003835,3.5,5,0.1,3
176,0.69,735.0,294.0,208.91983433327266,3.5,2,0.1,3
177,0.69,735.0,294.0,247.5349268966038,3.5,3,0.1,3
178,0.69,735.0,294.0,209.10813804550148,3.5,4,0.1,3
179,0.69,735.0,294.0,227.15370458565656,3.5,5,0.1,3
180,0.66,759.5,318.5,204.22884133234214,3.5,2,0.1,3
181,0.66,759.5,318.5,263.90946804483684,3.5,3,0.1,3
182,0.66,759.5,318.5,240.74535076486137,3.5,4,0.1,3
183,0.66,759.5,318.5,222.77531710361163,3.5,5,0.1,3
184,0.64,784.0,343.0,225.70202035590904,3.5,2,0.1,3
185,0.64,784.0,343.0,217.92982746553054,3.5,3,0.1,3
186,0.64,784.0,343.0,206.07456960290156,3.5,4,0.1,3
187,0.64,784.0,343.0,192.58441102822042,3.5,5,0.1,3
188,0.62,808.5,367.5,224.04982375289237,3.5,2,0.1,3
189,0.62,808.5,367.5,227.6086780882962,3.5,3,0.1,3
190,0.62,808.5,367.5,212.8728648228606,3.5,4,0.1,3
191,0.62,808.5,367.5,235.75444793380188,3.5,5,0.1,3
192,0.98,514.5,294.0,129.65713464621476,7.0,2,0.1,4
193,0.98,514.5,294.0,118.76965205522235,7.0,3,0.1,4
194,0.98,514.5,294.0,107.5219733645869,7.0,4,0.1,4
195,0.98,514.5,294.0,128.19251106370479,7.0,5,0.1,4
196,0.9,563.5,318.5,111.58435805076823,7.0,2,0.1,4
197,0.9,563.5,318.5,123.23489745398064,7.0,3,0.1,4
198,0.9,563.5,318.5,172.5037256375377,7.0,4,0.1,4
199,0.9,563.5,318.5,112.72755415312349,7.0,5,0.1,4
200,0.86,588.0,294.0,152.62140646779557,7.0,2,0.1,4
201,0.86,588.0,294.0,131.48611430095644,7.0,3,0.1,4
202,0.86,588.0,294.0,143.10229264907952,7.0,4,0.1,4
203,0.86,588.0,294.0,124.97108122039027,7.0,5,0.1,4
204,0.82,612.5,318.5,143.14509388156395,7.0,2,0.1,4
205,0.82,612.5,318.5,140.79345351698865,7.0,3,0.1,4
206,0.82,612.5,318.5,177.63871471603258,7.0,4,0.1,4
207,0.82,612.5,318.5,152.77037739633258,7.0,5,0.1,4
208,0.79,637.0,343.0,136.10390323140825,7.0,2,0.1,4
209,0.79,637.0,343.0,147.17587967981987,7.0,3,0.1,4
210,0.79,637.0,343.0,151.3886505982475,7.0,4,0.1,4
211,0.79,637.0,343.0,134.78385157615844,7.0,5,0.1,4
212,0.76,661.5,416.5,117.17549538071691,7.0,2,0.1,4
213,0.76,661.5,416.5,145.24544796328632,7.0,3,0.1,4
214,0.76,661.5,416.5,179.06139357124655,7.0,4,0.1,4
215,0.76,661.5,416.5,138.31121224498278,7.0,5,0.1,4
216,0.74,686.0,245.0,209.68437295327934,3.5,2,0.1,4
217,0.74,686.0,245.0,222.35496541430598,3.5,3,0.1,4
218,0.74,686.0,245.0,227.7121919680941,3.5,4,0.1,4
219,0.74,686.0,245.0,222.64071878071417,3.5,5,0.1,4
220,0.71,710.5,269.5,233.95587299204826,3.5,2,0.1,4
221,0.71,710.5,269.5,244.80627899282004,3.5,3,0.1,4
222,0.71,710.5,269.5,238.83315153917485,3.5,4,0.1,4
223,0.71,710.5,269.5,185.17131782730308,3.5,5,0.1,4
224,0.69,735.0,294.0,218.38290633178138,3.5,2,0.1,4
225,0.69,735.0,294.0,247.59838784255217,3.5,3,0.1,4
226,0.69,735.0,294.0,190.0366562299497,3.5,4,0.1,4
227,0.69,735.0,294.0,218.09672876301687,3.5,5,0.1,4
228,0.66,759.5,318.5,214.34962089102203,3.5,2,0.1,4
229,0.66,759.5,318.5,263.83968052058003,3.5,3,0.1,4
230,0.66,759.5,318.5,248.7553717513041,3.5,4,0.1,4
231,0.66,759.5,318.5,214.69557767259124,3.5,5,0.1,4
232,0.64,784.0,343.0,242.4375125972559,3.5,2,0.1,4
233,0.64,784.0,343.0,265.97981631485254,3.5,3,0.1,4
234,0.64,784.0,343.0,219.7084555731732,3.5,4,0.1,4
235,0.64,784.0,343.0,216.25100509094153,3.5,5,0.1,4
236,0.62,808.5,367.5,218.13437324679268,3.5,2,0.1,4
237,0.62,808.5,367.5,240.72375958946063,3.5,3,0.1,4
238,0.62,808.5,367.5,203.09163034742966,3.5,4,0.1,4
239,0.62,808.5,367.5,274.3061968370279,3.5,5,0.1,4
240,0.98,514.5,294.0,143.0919172276761,7.0,2,0.1,5
241,0.98,514.5,294.0,73.6439153759587,7.0,3,0.1,5
242,0.98,514.5,294.0,91.75909974203199,7.0,4,0.1,5
243,0.98,514.5,294.0,134.44494257294005,7.0,5,0.1,5
244,0.9,563.5,318.5,149.0818469087746,7.0,2,0.1,5
245,0.9,563.5,318.5,107.45188845947723,7.0,3,0.1,5
246,0.9,563.5,318.5,116.86735492906584,7.0,4,0.1,5
247,0.9,563.5,318.5,160.15679622326783,7.0,5,0.1,5
248,0.86,588.0,294.0,137.99079484795064,7.0,2,0.1,5
249,0.86,588.0,294.0,173.1790303123602,7.0,3,0.1,5
250,0.86,588.0,294.0,122.94360769892717,7.0,4,0.1,5
251,0.86,588.0,294.0,174.01099868206927,7.0,5,0.1,5
252,0.82,612.5,318.5,144.57083126234272,7.0,2,0.1,5
253,0.82,612.5,318.5,129.31026740887054,7.0,3,0.1,5
254,0.82,612.5,318.5,155.06178225865227,7.0,4,0.1,5
255,0.82,612.5,318.5,142.82414046730432,7.0,5,0.1,5
256,0.79,637.0,343.0,129.48836053572035,7.0,2,0.1,5
257,0.79,637.0,343.0,139.72312040876935,7.0,3,0.1,5
258,0.79,637.0,343.0,165.31608356657068,7.0,4,0.1,5
259,0.79,637.0,343.0,126.19289108638611,7.0,5,0.1,5
260,0.76,661.5,416.5,110.53498245168194,7.0,2,0.1,5
261,0.76,661.5,416.5,140.71737390685598,7.0,3,0.1,5
262,0.76,661.5,416.5,113.20367195331902,7.0,4,0.1,5
263,0.76,661.5,416.5,143.27738518683998,7.0,5,0.1,5
264,0.74,686.0,245.0,238.86257331730354,3.5,2,0.1,5
265,0.74,686.0,245.0,197.35139662425388,3.5,3,0.1,5
266,0.74,686.0,245.0,197.32066251504955,3.5,4,0.1,5
267,0.74,686.0,245.0,245.88278029206924,3.5,5,0.1,5
268,0.71,710.5,269.5,193.25362191638493,3.5,2,0.1,5
269,0.71,710.5,269.5,225.5739581440338,3.5,3,0.1,5
270,0.71,710.5,269.5,234.16332481911775,3.5,4,0.1,5
271,0.71,710.5,269.5,189.58813948459792,3.5,5,0.1,5
272,0.69,735.0,294.0,207.579658979497,3.5,2,0.1,5
273,0.69,735.0,294.0,222.75054390313034,3.5,3,0.1,5
274,0.69,735.0,294.0,241.6872554457043,3.5,4,0.1,5
275,0.69,735.0,294.0,240.28590981275664,3.5,5,0.1,5
276,0.66,759.5,318.5,207.48274978320012,3.5,2,0.1,5
277,0.66,759.5,318.5,232.24218010292117,3.5,3,0.1,5
278,0.66,759.5,318.5,212.76976876278383,3.5,4,0.1,5
279,0.66,759.5,318.5,216.29294003479546,3.5,5,0.1,5
280,0.64,784.0,343.0,195.49090764464205,3.5,2,0.1,5
281,0.64,784.0,343.0,205.1534312320432,3.5,3,0.1,5
282,0.64,784.0,343.0,211.80086546403538,3.5,4,0.1,5
283,0.64,784.0,343.0,217.37897819017667,3.5,5,0.1,5
284,0.62,808.5,367.5,231.3996518916339,3.5,2,0.1,5
285,0.62,808.5,367.5,232.90377084680296,3.5,3,0.1,5
286,0.62,808.5,367.5,242.21091436072692,3.5,4,0.1,5
287,0.62,808.5,367.5,264.3597786823947,3.5,5,0.1,5
288,0.98,514.5,294.0,104.48036333055933,7.0,2,0.25,1
289,0.98,514.5,294.0,129.02397927492888,7.0,3,0.25,1
290,0.98,514.5,294.0,108.46182056860428,7.0,4,0.25,1
291,0.98,514.5,294.0,80.639768544243,7.0,5,0.25,1
292,0.9,563.5,318.5,120.36449267204651,7.0,2,0.25,1
293,0.9,563.5,318.5,133.61773572935735,7.0,3,0.25,1
294,0.9,563.5,318.5,136.13851322856408,7.0,4,0.25,1
295,0.9,563.5,318.5,87.58579389165574,7.0,5,0.25,1
296,0.86,588.0,294.0,180.85268212082457,7.0,2,0.25,1
297,0.86,588.0,294.0,155.5497722723308,7.0,3,0.25,1
298,0.86,588.0,294.0,163.63592186244398,7.0,4,0.25,1
299,0.86,588.0,294.0,130.10154025637004,7.0,5,0.25,1
300,0.82,612.5,318.5,212.97834189065253,7.0,2,0.25,1
301,0.82,612.5,318.5,142.9576563866153,7.0,3,0.25,1
302,0.82,612.5,318.5,113.02636009834012,7.0,4,0.25,1
303,0.82,612.5,318.5,193.85893314364307,7.0,5,0.25,1
304,0.79,637.0,343.0,130.55178595675065,7.0,2,0.25,1
305,0.79,637.0,343.0,153.41368357917864,7.0,3,0.25,1
306,0.79,637.0,343.0,194.3049511645201,7.0,4,0.25,1
307,0.79,637.0,343.0,167.17473129520423,7.0,5,0.25,1
308,0.76,661.5,416.5,134.96915153626972,7.0,2,0.25,1
309,0.76,661.5,416.5,170.70041917319006,7.0,3,0.25,1
310,0.76,661.5,416.5,178.7331894451002,7.0,4,0.25,1
311,0.76,661.5,416.5,140.40577714666514,7.0,5,0.25,1
312,0.74,686.0,245.0,203.91897510527372,3.5,2,0.25,1
313,0.74,686.0,245.0,231.03557653967505,3.5,3,0.25,1
314,0.74,686.0,245.0,254.51690601752858,3.5,4,0.25,1
315,0.74,686.0,245.0,228.71778655641873,3.5,5,0.25,1
316,0.71,710.5,269.5,190.85533411685103,3.5,2,0.25,1
317,0.71,710.5,269.5,199.36097177199736,3.5,3,0.25,1
318,0.71,710.5,269.5,229.64653015001187,3.5,4,0.25,1
319,0.71,710.5,269.5,228.443267525201,3.5,5,0.25,1
320,0.69,735.0,294.0,216.82244113949304,3.5,2,0.25,1
321,0.69,735.0,294.0,208.50206389513534,3.5,3,0.25,1
322,0.69,735.0,294.0,239.01886423577133,3.5,4,0.25,1
323,0.69,735.0,294.0,201.07965958375607,3.5,5,0.25,1
324,0.66,759.5,318.5,240.80377615165781,3.5,2,0.25,1
325,0.66,759.5,318.5,244.01856310673838,3.5,3,0.25,1
326,0.66,759.5,318.5,233.5361143029191,3.5,4,0.25,1
327,0.66,759.5,318.5,241.08032432201782,3.5,5,0.25,1
328,0.64,784.0,343.0,230.87717726582065,3.5,2,0.25,1
329,0.64,784.0,343.0,251.43688047949666,3.5,3,0.25,1
330,0.64,784.0,343.0,218.3668757904013,3.5,4,0.25,1
331,0.64,784.0,343.0,225.5647542957328,3.5,5,0.25,1
332,0.62,808.5,367.5,170.7233776445984,3.5,2,0.25,1
333,0.62,808.5,367.5,179.45937013198866,3.5,3,0.25,1
334,0.62,808.5,367.5,204.82174850489267,3.5,4,0.25,1
335,0.62,808.5,367.5,212.3810246193949,3.5,5,0.25,1
336,0.98,514.5,294.0,126.95329636714908,7.0,2,0.25,2
337,0.98,514.5,294.0,96.56814814659253,7.0,3,0.25,2
338,0.98,514.5,294.0,92.49826542970126,7.0,4,0.25,2
339,0.98,514.5,294.0,94.94093189915759,7.0,5,0.25,2
340,0.9,563.5,318.5,104.40396987539609,7.0,2,0.25,2
341,0.9,563.5,318.5,115.34054283048182,7.0,3,0.25,2
342,0.9,563.5,318.5,174.60998295539918,7.0,4,0.25,2
343,0.9,563.5,318.5,127.64756056734046,7.0,5,0.25,2
344,0.86,588.0,294.0,135.54352987241663,7.0,2,0.25,2
345,0.86,588.0,294.0,184.73307656222352,7.0,3,0.25,2
346,0.86,588.0,294.0,120.21094894006832,7.0,4,0.25,2
347,0.86,588.0,294.0,157.5841238027563,7.0,5,0.25,2
348,0.82,612.5,318.5,137.18372115330686,7.0,2,0.25,2
349,0.82,612.5,318.5,151.34415963716538,7.0,3,0.25,2
350,0.82,612.5,318.5,152.9696120927965,7.0,4,0.25,2
351,0.82,612.5,318.5,163.631093695141,7.0,5,0.25,2
352,0.79,637.0,343.0,178.05754715096478,7.0,2,0.25,2
353,0.79,637.0,343.0,138.19040715046086,7.0,3,0.25,2
354,0.79,637.0,343.0,138.5111259946351,7.0,4,0.25,2
355,0.79,637.0,343.0,157.1859264364488,7.0,5,0.25,2
356,0.76,661.5,416.5,130.24726363134837,7.0,2,0.25,2
357,0.76,661.5,416.5,133.63959555165968,7.0,3,0.25,2
358,0.76,661.5,416.5,133.03902567501999,7.0,4,0.25,2
359,0.76,661.5,416.5,149.71942818495472,7.0,5,0.25,2
360,0.74,686.0,245.0,150.16163895891214,3.5,2,0.25,2
361,0.74,686.0,245.0,197.9845270666906,3.5,3,0.25,2
362,0.74,686.0,245.0,212.03078847384637,3.5,4,0.25,2
363,0.74,686.0,245.0,206.14667082327298,3.5,5,0.25,2
364,0.71,710.5,269.5,215.3523700927775,3.5,2,0.25,2
365,0.71,710.5,269.5,217.28737510529606,3.5,3,0.25,2
366,0.71,710.5,269.5,235.70515828805065,3.5,4,0.25,2
367,0.71,710.5,269.5,222.2331749848193,3.5,5,0.25,2
368,0.69,735.0,294.0,208.54146019941504,3.5,2,0.25,2
369,0.69,735.0,294.0,225.14178674786365,3.5,3,0.25,2
370,0.69,735.0,294.0,243.73730022857626,3.5,4,0.25,2
371,0.69,735.0,294.0,241.54044799253995,3.5,5,0.25,2
372,0.66,759.5,318.5,253.47668758887576,3.5,2,0.25,2
373,0.66,759.5,318.5,227.43195110963563,3.5,3,0.25,2
374,0.66,759.5,318.5,208.61974577990668,3.5,4,0.25,2
375,0.66,759.5,318.5,205.93767963927425,3.5,5,0.25,2
376,0.64,784.0,343.0,241.28386768300345,3.5,2,0.25,2
377,0.64,784.0,343.0,202.2870256587882,3.5,3,0.25,2
378,0.64,784.0,343.0,227.46845224224447,3.5,4,0.25,2
379,0.64,784.0,343.0,204.705902969801,3.5,5,0.25,2
380,0.62,808.5,367.5,222.6622826668734,3.5,2,0.25,2
381,0.62,808.5,367.5,247.1960443998734,3.5,3,0.25,2
382,0.62,808.5,367.5,233.37825902917052,3.5,4,0.25,2
383,0.62,808.5,367.5,206.2891403281053,3.5,5,0.25,2
